name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Clément Lenglet,DEF,Spurs,0.1,0,0,0,0,0,513,0,0,0,0,15,0,0,0,0,2022-08-14T15:30:00Z,0,0,0,0,0,2,0,37088,0,2,2,0,0,-8809,1124,9933,50,FALSE,0,Chelsea
Alexis Mac Allister,MID,Brighton,1,0,0,13,1,4,116,0,0,0,0,14,0,0,1.9,13.2,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,16769,0,0,0,2,2,-548,2118,2666,55,TRUE,1,Newcastle
Eberechi Eze,MID,Crystal Palace,3,1,1,24,0,16.9,169,0,0,0,0,16,1,0,4.4,25.2,2022-08-15T19:00:00Z,78,0,0,0,0,2,0,87761,0,1,1,2,6,-1275,9764,11039,55,FALSE,0,Liverpool
Anthony Elanga,MID,Man Utd,1.5,0,0,4,0,10.8,344,0,0,0,0,13,0,0,2.1,4.4,2022-08-13T16:30:00Z,30,0,0,0,0,2,0,75015,0,0,4,6,1,-10409,4707,15116,50,FALSE,0,Brentford
Luis Díaz,MID,Liverpool,6.5,0,3,31,0,15.9,293,0,0,0,0,16,1,1,11.3,54.8,2022-08-15T19:00:00Z,90,0,0,0,0,2,0,1743693,0,1,1,42,9,-84739,84791,169530,80,TRUE,1,Crystal Palace
Bobby Reid,MID,Fulham,1.5,0,0,8,1,6.3,205,0,0,0,0,20,0,0,7.1,7.2,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,6897,0,0,0,57,3,55,998,943,55,FALSE,0,Wolves
Alex Telles,DEF,Man Utd,0,0,0,0,0,0,334,0,0,0,0,13,0,0,0,0,2022-08-13T16:30:00Z,0,0,0,0,0,2,0,4632,0,0,4,0,0,-3848,0,3848,50,FALSE,0,Brentford
Bruno Guimarães,MID,Newcastle,3,0,0,14,1,4.7,374,0,0,0,0,14,0,0,1.6,10.8,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,900447,0,0,0,0,3,-24886,52015,76901,60,FALSE,0,Brighton
Gabriel,DEF,Arsenal,4.5,0,0,12,0,1.8,16,0,0,0,0,11,2,0,2.1,13.2,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,756694,0,2,4,6,1,-7155,48645,55800,50,TRUE,0,Leicester
Emerson,DEF,Chelsea,0,0,0,0,0,0,545,0,0,0,0,15,0,0,0,0,2022-08-14T15:30:00Z,0,0,0,0,0,2,0,40477,0,2,2,0,0,936,5456,4520,40,TRUE,0,Spurs
Martin Ødegaard,MID,Arsenal,3,0,0,19,0,15.3,7,0,0,0,0,11,2,0,3.5,7.6,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,1175045,0,2,4,12,2,-78957,58220,137177,65,TRUE,0,Leicester
João Moutinho,MID,Wolves,0,0,0,0,0,0,503,0,0,0,0,20,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,109183,0,0,0,0,0,-59604,1141,60745,50,TRUE,0,Fulham
Ethan Pinnock,DEF,Brentford,0,0,0,0,0,0,92,0,0,0,0,13,0,0,0,0,2022-08-13T16:30:00Z,0,0,0,0,0,2,0,2178,0,0,4,0,0,-665,18,683,45,TRUE,0,Man Utd
